sku_id,sku_name,sku_category,sku_unit,quantity,effective_date,expiry_date,location_tag_name
SKU-E001,Samsung 65-Inch 4K QLED TV,finished_good,pieces,48,2026-01-01,2027-01-01,
SKU-E002,LG 27-Inch UltraWide Monitor,finished_good,pieces,120,2026-01-01,2027-01-01,
SKU-E003,Apple MacBook Pro 16 M3,finished_good,pieces,35,2026-01-01,2027-06-01,
SKU-E004,Dell PowerEdge R750 Server,finished_good,pieces,12,2026-01-01,2028-01-01,
SKU-E005,Cisco Catalyst 9300 Switch,finished_good,pieces,25,2026-01-01,2028-01-01,
SKU-E006,HP LaserJet Enterprise M507,finished_good,pieces,60,2026-02-01,2027-02-01,
SKU-E007,Zebra ZT411 Industrial Printer,finished_good,pieces,40,2026-02-01,2027-02-01,
SKU-T001,Industrial Hydraulic Oil ISO 46,raw_material,liters,2000,2026-01-15,2027-01-15,
SKU-T002,Compressed Nitrogen Gas Cylinder,raw_material,pieces,150,2026-01-15,2027-01-15,
SKU-T003,Stainless Steel Hex Bolt M12,raw_material,pieces,5000,2026-01-15,2029-01-15,
SKU-T004,Aluminum Sheet 2mm 1200x2400,raw_material,pieces,300,2026-02-01,2028-02-01,
SKU-T005,Industrial Epoxy Adhesive 5kg,raw_material,kg,180,2026-02-01,2027-02-01,
SKU-T006,HDPE Plastic Granules,raw_material,kg,4000,2026-02-01,2027-08-01,
SKU-T007,Copper Wire 2.5mm 100m Roll,raw_material,pieces,500,2026-02-01,2028-02-01,
SKU-P001,DeWalt 20V Max Cordless Drill Kit,finished_good,pieces,90,2026-03-01,2027-03-01,
SKU-P002,Makita Angle Grinder 9-Inch,finished_good,pieces,75,2026-03-01,2027-03-01,
SKU-P003,3M Safety Helmet Hard Hat,finished_good,pieces,200,2026-03-01,2027-03-01,
SKU-P004,Ansell Cut-Resistant Gloves L,finished_good,pieces,500,2026-03-01,2027-03-01,
SKU-P005,Honeywell N95 Respirator 20pk,finished_good,boxes,300,2026-03-01,2026-09-01,
SKU-P006,Bosch 18V Cordless Impact Wrench,finished_good,pieces,65,2026-03-01,2027-03-01,
