asset_id,asset_name,asset_type,location_tag_name
FORK-001,Toyota Forklift 5000lb,forklift,PALLET-01
FORK-002,Crown Forklift 4000lb,forklift,PALLET-02
FORK-003,Hyster Forklift 6000lb,forklift,DOCK-DOOR-01
FORK-004,Yale Forklift 5500lb,forklift,BULK-AREA-01
FORK-005,Raymond Reach Truck,forklift,RESERVE-R01
FORK-006,Caterpillar Forklift,forklift,STAGING-01
FORK-007,Mitsubishi Forklift,forklift,RECV-STAGE-01
FORK-008,Komatsu Forklift,forklift,INBOUND-D01
PALLET-001,Electric Pallet Jack,pallet_jack,RACK-A-001
PALLET-002,Manual Pallet Jack,pallet_jack,RACK-B-001
PALLET-003,Electric Pallet Jack,pallet_jack,ZONE-A-R01
PALLET-004,Manual Pallet Jack,pallet_jack,ZONE-B-R01
PALLET-005,Electric Pallet Jack,pallet_jack,BIN-AA-001
PALLET-006,Manual Pallet Jack,pallet_jack,ROW-1-BAY-A
PALLET-007,Electric Pallet Jack,pallet_jack,PICK-FACE-A1
PALLET-008,Manual Pallet Jack,pallet_jack,AUTO-RACK-01
PALLET-009,Electric Pallet Jack,pallet_jack,COLD-RACK-01
PALLET-010,Manual Pallet Jack,pallet_jack,LUMBER-01
SCAN-001,Zebra Barcode Scanner,scanner,RACK-A-001
SCAN-002,Honeywell Scanner,scanner,RACK-A-002
SCAN-003,Datalogic Scanner,scanner,ZONE-A-R01
SCAN-004,Zebra Mobile Computer,scanner,ZONE-A-R02
SCAN-005,Honeywell Handheld,scanner,BIN-AA-001
SCAN-006,Datalogic Mobile Scanner,scanner,SHELF-01-A
SCAN-007,Zebra Wearable Scanner,scanner,ROW-1-BAY-A
SCAN-008,Honeywell Ring Scanner,scanner,PICK-FACE-A1
SCAN-009,Datalogic Handheld,scanner,AUTO-RACK-01
SCAN-010,Zebra TC52 Mobile,scanner,ELEC-SHELF-01
SCAN-011,Honeywell CT40,scanner,COLD-RACK-01
SCAN-012,Datalogic Memor 10,scanner,LUMBER-01
SCAN-013,Zebra MC3300,scanner,INDOOR-A1
SCAN-014,Honeywell EDA52,scanner,RECV-STAGE-01
SCAN-015,Datalogic Skorpio X5,scanner,COMP-SHELF-01
CART-001,Platform Cart 1000lb,pallet_jack,RACK-C-001
CART-002,Utility Cart 4-Shelf,pallet_jack,MEZZANINE-01
CART-003,Order Picking Cart,pallet_jack,SHELF-02-A
CART-004,Platform Cart 1500lb,pallet_jack,ROW-2-BAY-A
CART-005,Utility Cart 3-Shelf,pallet_jack,PICK-FACE-B1
SCALE-001,Floor Scale 5000lb,scanner,DOCK-DOOR-01
SCALE-002,Bench Scale 500lb,scanner,RECV-STAGE-01
SCALE-003,Pallet Scale 10000lb,scanner,INBOUND-D01
SCALE-004,Counting Scale,scanner,COMP-SHELF-01
WRAP-001,Stretch Wrap Machine,pallet_jack,STAGING-01
WRAP-002,Pallet Wrapper Auto,pallet_jack,PACK-STATION-1
WRAP-003,Hand Stretch Wrapper,pallet_jack,OUTBOUND-D01
LABEL-001,Zebra Label Printer,scanner,PACK-STATION-1
LABEL-002,Zebra Label Printer,scanner,PACK-STATION-2
LABEL-003,Zebra Label Printer,scanner,RECV-STAGE-01
LABEL-004,Zebra Label Printer,scanner,RECV-STAGE-02
DOCK-001,Dock Leveler Hydraulic,forklift,DOCK-DOOR-01
DOCK-002,Dock Leveler Mechanical,forklift,INBOUND-D01
